"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"1975","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","49.700"
"1974","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.400"
"1973","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","55.800"
"1972","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","57.100"
"1971","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","56.500"
"1970","Texas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","56.000"
"2018","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.000"
"2017","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.900"
"2016","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","41.700"
"2015","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.600"
"2014","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.700"
"2013","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.000"
"2012","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.400"
"2011","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","45.200"
"2010","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.000"
"2009","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.500"
"2008","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.900"
"2007","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.900"
"2006","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.200"
"2005","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.800"
"2004","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.900"
"2003","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.300"
"2002","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.500"
"2001","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.500"
"2000","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.800"
"1999","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.100"
"1998","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.000"
"1997","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.900"
"1996","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.100"
"1995","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.900"
"1994","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.900"
"1993","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.500"
"1992","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.800"
"1991","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.100"
"1990","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","23.300"
"1989","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.700"
"1988","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.800"
"1987","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.700"
"1986","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.800"
"1985","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.100"
"1984","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.800"
"1983","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.400"
"1982","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.200"
"1981","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.400"
"1980","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.700"
"1979","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.500"
"1978","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.800"
"1977","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.300"
"1976","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.800"
"1975","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.900"
"1974","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.500"
"1973","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.300"
"1972","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.800"
"1971","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.000"
"1970","Utah","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.700"
"2018","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.700"
"2017","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.600"
"2016","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.900"
"2015","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.400"
"2014","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.200"
"2013","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.300"
"2012","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.400"
"2011","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.900"
"2010","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.500"
"2009","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.800"
"2008","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.700"
"2007","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.800"
"2006","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","44.900"
"2005","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.300"
"2004","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.600"
"2003","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.300"
"2002","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.800"
"2001","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.000"
"2000","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.100"
"1999","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.600"
"1998","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.100"
"1997","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.800"
"1996","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.700"
"1995","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.600"
"1994","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.500"
"1993","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.600"
"1992","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","23.000"
"1991","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.600"
"1990","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.000"
"1989","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","23.100"
"1988","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.400"
"1987","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.600"
"1986","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.000"
"1985","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.500"
"1984","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.600"
"1983","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.400"
"1982","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.000"
"1981","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.900"
"1980","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.800"
"1979","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.000"
"1978","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.500"
"1977","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.100"
"1976","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.600"
"1975","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.500"
"1974","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.900"
"1973","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.400"
"1972","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.300"
"1971","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.000"
"1970","Vermont","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.600"
"2018","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.100"
"2017","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.100"
"2016","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.700"
"2015","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.000"
"2014","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.700"
"2013","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.500"
"2012","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.000"
"2011","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.100"
"2010","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.400"
"2009","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.000"
"2008","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.900"
"2007","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","19.200"
"2006","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","19.700"
"2005","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","19.600"
"2004","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.000"
"2003","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","12.900"
"2002","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","13.500"
"2001","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","12.400"
"2000","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","13.300"
"1999","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","10.500"
"1998","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","14.400"
"1997","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.300"
"1996","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.600"
"1995","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.600"
"1994","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.800"
"1993","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.900"
"1992","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","13.600"
"1991","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","14.200"
"1990","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","13.600"
"1989","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","14.300"
"1988","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","16.900"
"1987","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.100"
"1986","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","19.600"
"1985","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","20.300"
"1984","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.100"
"1983","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.300"
"1982","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","15.300"
"1981","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","18.600"
"1980","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","20.300"
"1979","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","21.700"
"1978","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","22.900"
"1977","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","24.500"
"1976","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.300"
"1975","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.700"
"1974","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.300"
"1973","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.600"
"1972","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.900"
"1971","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.100"
"1970","Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.800"
"2018","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","48.500"
"2017","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","49.300"
"2016","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","50.500"
"2015","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","51.400"
"2014","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","51.600"
"2013","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.100"
"2012","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.500"
"2011","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.800"
"2010","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","53.000"
"2009","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","46.200"
"2008","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.500"
"2007","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","43.800"
"2006","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","44.700"
"2005","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","45.700"
"2004","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.400"
"2003","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.900"
"2002","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.000"
"2001","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.500"
"2000","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","30.500"
"1999","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.600"
"1998","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.100"
"1997","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.100"
"1996","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","40.200"
"1995","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","42.700"
"1994","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.700"
"1993","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.500"
"1992","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.700"
"1991","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.100"
"1990","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","28.200"
"1989","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","29.900"
"1988","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.200"
"1987","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.800"
"1986","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","35.000"
"1985","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.000"
"1984","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","84.100"
"1983","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.800"
"1982","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","38.300"
"1981","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.900"
"1980","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.000"
"1979","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.600"
"1978","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.000"
"1977","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","41.000"
"1976","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","44.700"
"1975","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","45.300"
"1974","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","49.000"
"1973","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","51.200"
"1972","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.300"
"1971","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","52.100"
"1970","Washington","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","47.100"
"2018","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","36.600"
"2017","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","37.600"
"2016","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","39.000"
"2015","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","31.800"
"2014","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.000"
"2013","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.300"
"2012","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","32.800"
"2011","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","33.700"
"2010","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.000"
"2009","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","34.600"
"2008","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","25.400"
"2007","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","26.400"
"2006","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.000"
"2005","West Virginia","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price","Percentage","27.700"
